url,title,neighborhood,region,bedrooms,bathrooms,size_m2,price,date_published,category,type,listing_id,property_subtype,furnished
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-kyuna-3971652,"5 Bed Villa in Kyuna for KSh 115,000,000 | BuyRentKenya",Kyuna,Westlands,5.0,6.0,700.0,115000000,2026-04-13 15:08:49+00:00,houses-for-sale/nairobi,sale,3971652,villa,False
https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-lavington-3973169,"4 Bed Villa at Jacaranda Avenue for KSh 167,000,000 | BuyRentKenya",Lavington,Lavington,4.0,5.0,630.0,167000000,2026-04-18 09:15:52+00:00,houses-for-sale/nairobi,sale,3973169,villa,False
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3977882,"5 Bed Townhouse at Lavington Green for KSh 78,000,000 | BuyRentKenya",Lavington,Lavington,5.0,5.0,,78000000,2026-04-22 21:07:52+00:00,houses-for-sale/nairobi,sale,3977882,townhouse,False
https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-karen-3977820,"Serviced 6 Bed Villa at Karen Windy Ridge Area for KSh 190,000,000 | BuyRentKenya",Karen,Karen,6.0,7.0,2023.0,190000000,2026-04-22 17:58:46+00:00,houses-for-sale/nairobi,sale,3977820,villa,True
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3756379,"5 Bed House in Lavington for KSh 90,000,000 | BuyRentKenya",Lavington,Lavington,5.0,,747.0,90000000,2026-04-22 11:08:43+00:00,houses-for-sale/nairobi,sale,3756379,house,False
https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3756386,"4 Bed House in Lavington for KSh 85,000,000 | BuyRentKenya",Lavington,Lavington,4.0,,747.0,85000000,2026-04-22 11:08:43+00:00,houses-for-sale/nairobi,sale,3756386,house,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-thika-road-3977499,"4 Bed Townhouse at Kenyatta Road for KSh 20,500,000 | BuyRentKenya",Thika Road,Thika Road,4.0,5.0,180.0,20500000,2026-04-22 10:20:12+00:00,houses-for-sale/nairobi,sale,3977499,townhouse,False
https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-thika-road-3977487,"3 Bed House at Kenyatta Road for KSh 13,850,000 | BuyRentKenya",Thika Road,Thika Road,3.0,4.0,,13850000,2026-04-22 10:12:48+00:00,houses-for-sale/nairobi,sale,3977487,house,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-south-c-3920089,"4 Bed Townhouse at Five Star Estate for KSh 26,000,000 | BuyRentKenya",South C,South C,4.0,4.0,230.0,26000000,2026-04-20 06:30:38+00:00,houses-for-sale/nairobi,sale,3920089,townhouse,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-south-c-3931997,"4 Bed Townhouse in South C for KSh 30,000,000 | BuyRentKenya",South C,South C,4.0,3.0,,30000000,2026-02-25 04:50:19+00:00,houses-for-sale/nairobi,sale,3931997,townhouse,False
